bt2:fb	116133	95528	27570	1354	11546	1307	28160	9414	188855	264016	40659	1557	40623	4210	2026495	175399	50537	131070
mem:fb	83495	104332	50805	2730	16482	1354	29953	14395	158021	266778	62384	2698	56390	5414	2064241	180186	51190	123416
bt2:hc	37481	49917	11296	888	28958	2474	13894	2507	88716	313629	48221	3493	69641	10173	1921547	177529	23859	120435
mem:hc	31736	56397	46262	3609	44380	4316	28428	4054	93853	331015	71275	5543	85191	9336	2038697	191281	26007	124121
bt2:pt	120300	115672	13334	908	42334	4486	18095	9873	241499	431124	42462	8024	270306	23386	1966936	168804	38147	182551
mem:pt	74989	84784	53740	3185	57962	5156	25105	4017	164242	346681	66364	6412	147756	27817	2065424	162788	19457	131459
bt2:st	29506	53223	14575	742	5180	1770	14305	7147	87974	135658	39719	2265	35990	4200	1955433	140903	2598	8743
mem:st	26763	51705	50782	2044	14601	1265	20190	7824	88670	133170	70014	2558	52202	6917	2017455	139641	2621	8199
bt2:ug	155916	24135	22086	617	44582	452	39674	2320	269706	254546	51057	1681	140258	1753	2030918	167356	12735	124062
mem:ug	91465	25505	74620	2117	30590	668	27676	2995	175284	216534	93764	2274	87620	2686	2050539	171810	11887	98342
fm2:st	9120	32229	27542	2166	7926	364	14611	1707	78531	231867	44162	3178	26806	3017	1963978	179470	11905	78120
